file,site,sample_rate
recover-20250127/UBNA_026/20250114_120000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_121000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_122000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_123000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_124000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_125000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_130000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_131000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_132000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_133000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_134000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_135000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_140000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_141000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_142000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_143000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_144000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_145000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_150000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_151000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_152000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_153000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_154000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_155000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_160000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_161000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_162000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_163000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_164000.WAV,Carp Pond,192000
