Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Scientific Name	Confidence	File
112	Spectrogram 1	1	1338.0	1341.0	300	15000	Pacific Tree	Pacific Tree	0.4231	20230620_080000.wav
113	Spectrogram 1	1	1341.0	1380.0	300	15000	American Bullfrog	American Bullfrog	0.8082	20230620_080000.wav
114	Spectrogram 1	1	1383.0	1404.0	300	15000	American Bullfrog	American Bullfrog	0.6559	20230620_080000.wav
115	Spectrogram 1	1	1440.0	1485.0	300	15000	Pacific Tree	Pacific Tree	0.5721	20230620_080000.wav
116	Spectrogram 1	1	1503.0	1506.0	300	15000	American Bullfrog	American Bullfrog	0.4255	20230620_080000.wav
117	Spectrogram 1	1	1509.0	1512.0	300	15000	Wood Frog	Wood Frog	0.4282	20230620_080000.wav
118	Spectrogram 1	1	1521.0	1545.0	300	15000	Pacific Tree	Pacific Tree	0.4638	20230620_080000.wav
119	Spectrogram 1	1	1554.0	1560.0	300	15000	American Bullfrog	American Bullfrog	0.5556	20230620_080000.wav
120	Spectrogram 1	1	1560.0	1572.0	300	15000	Pacific Tree	Pacific Tree	0.4665	20230620_080000.wav
121	Spectrogram 1	1	1572.0	1575.0	300	15000	American Bullfrog	American Bullfrog	0.5013	20230620_080000.wav
122	Spectrogram 1	1	1575.0	1578.0	300	15000	Pacific Tree	Pacific Tree	0.4252	20230620_080000.wav
123	Spectrogram 1	1	1581.0	1584.0	300	15000	American Bullfrog	American Bullfrog	0.5029	20230620_080000.wav
124	Spectrogram 1	1	1590.0	1599.0	300	15000	Pacific Tree	Pacific Tree	0.4843	20230620_080000.wav
125	Spectrogram 1	1	1599.0	1602.0	300	15000	American Bullfrog	American Bullfrog	0.4546	20230620_080000.wav
126	Spectrogram 1	1	1599.0	1602.0	300	15000	Pacific Tree	Pacific Tree	0.4274	20230620_080000.wav
127	Spectrogram 1	1	1602.0	1605.0	300	15000	American Bullfrog	American Bullfrog	0.4006	20230620_080000.wav
128	Spectrogram 1	1	1605.0	1608.0	300	15000	Pacific Tree	Pacific Tree	0.5091	20230620_080000.wav
129	Spectrogram 1	1	1608.0	1611.0	300	15000	American Bullfrog	American Bullfrog	0.4209	20230620_080000.wav
130	Spectrogram 1	1	1614.0	1641.0	300	15000	Pacific Tree	Pacific Tree	0.4825	20230620_080000.wav
131	Spectrogram 1	1	1647.0	1650.0	300	15000	American Bullfrog	American Bullfrog	0.4676	20230620_080000.wav
132	Spectrogram 1	1	1650.0	1674.0	300	15000	Pacific Tree	Pacific Tree	0.4850	20230620_080000.wav
133	Spectrogram 1	1	1674.0	1677.0	300	15000	American Bullfrog	American Bullfrog	0.6926	20230620_080000.wav
134	Spectrogram 1	1	1683.0	1686.0	300	15000	Pacific Tree	Pacific Tree	0.4414	20230620_080000.wav
135	Spectrogram 1	1	1686.0	1689.0	300	15000	American Bullfrog	American Bullfrog	0.4316	20230620_080000.wav
136	Spectrogram 1	1	1689.0	1698.0	300	15000	Pacific Tree	Pacific Tree	0.5779	20230620_080000.wav
137	Spectrogram 1	1	1698.0	1713.0	300	15000	American Bullfrog	American Bullfrog	0.5024	20230620_080000.wav
138	Spectrogram 1	1	1722.0	1725.0	300	15000	Pacific Tree	Pacific Tree	0.4045	20230620_080000.wav
139	Spectrogram 1	1	1725.0	1731.0	300	15000	American Bullfrog	American Bullfrog	0.5246	20230620_080000.wav
140	Spectrogram 1	1	1731.0	1749.0	300	15000	Pacific Tree	Pacific Tree	0.5221	20230620_080000.wav
141	Spectrogram 1	1	1752.0	1761.0	300	15000	American Bullfrog	American Bullfrog	0.4495	20230620_080000.wav
142	Spectrogram 1	1	1758.0	1761.0	300	15000	Pacific Tree	Pacific Tree	0.4347	20230620_080000.wav
143	Spectrogram 1	1	1761.0	1764.0	300	15000	American Bullfrog	American Bullfrog	0.5597	20230620_080000.wav
144	Spectrogram 1	1	1764.0	1770.0	300	15000	Pacific Tree	Pacific Tree	0.4886	20230620_080000.wav
145	Spectrogram 1	1	1770.0	1773.0	300	15000	American Bullfrog	American Bullfrog	0.5349	20230620_080000.wav
146	Spectrogram 1	1	1779.0	1788.0	300	15000	Pacific Tree	Pacific Tree	0.5205	20230620_080000.wav
147	Spectrogram 1	1	1788.0	1791.0	300	15000	American Bullfrog	American Bullfrog	0.4137	20230620_080000.wav
148	Spectrogram 1	1	1791.0	1794.0	300	15000	Pacific Tree	Pacific Tree	0.5443	20230620_080000.wav
